subid,sex,agebin,task,item,q,q_kind,answer,task_num,site,age
MC-canada_11,M,yng,moral,push,1,2,Y,moral1.2,canada,6.581793292
MC-canada_11,M,yng,moral,push,1,3,N,moral1.3,canada,6.581793292
MC-canada_11,M,yng,moral,namecall,2,0,1,moral2,canada,6.581793292
MC-canada_11,M,yng,moral,namecall,2,1,Y,moral2.1,canada,6.581793292
MC-canada_11,M,yng,moral,namecall,2,2,Y,moral2.2,canada,6.581793292
MC-canada_11,M,yng,moral,namecall,2,3,N,moral2.3,canada,6.581793292
MC-canada_11,M,yng,moral,rip,3,0,1,moral3,canada,6.581793292
MC-canada_11,M,yng,moral,rip,3,1,Y,moral3.1,canada,6.581793292
MC-canada_11,M,yng,moral,rip,3,2,Y,moral3.2,canada,6.581793292
MC-canada_11,M,yng,moral,rip,3,3,N,moral3.3,canada,6.581793292
MC-canada_12,M,yng,moral,push,1,0,1,moral1,canada,6.288843258
MC-canada_12,M,yng,moral,push,1,1,N,moral1.1,canada,6.288843258
MC-canada_12,M,yng,moral,push,1,2,N,moral1.2,canada,6.288843258
MC-canada_12,M,yng,moral,push,1,3,N,moral1.3,canada,6.288843258
MC-canada_12,M,yng,moral,namecall,2,0,1,moral2,canada,6.288843258
MC-canada_12,M,yng,moral,namecall,2,1,N,moral2.1,canada,6.288843258
MC-canada_12,M,yng,moral,namecall,2,2,N,moral2.2,canada,6.288843258
MC-canada_12,M,yng,moral,namecall,2,3,N,moral2.3,canada,6.288843258
MC-canada_12,M,yng,moral,rip,3,0,1,moral3,canada,6.288843258
MC-canada_12,M,yng,moral,rip,3,1,N,moral3.1,canada,6.288843258
MC-canada_12,M,yng,moral,rip,3,2,N,moral3.2,canada,6.288843258
MC-canada_12,M,yng,moral,rip,3,3,N,moral3.3,canada,6.288843258
MC-canada_13,F,yng,moral,push,1,0,1,moral1,canada,6.171115674
MC-canada_13,F,yng,moral,push,1,1,N,moral1.1,canada,6.171115674
MC-canada_13,F,yng,moral,push,1,2,N,moral1.2,canada,6.171115674
MC-canada_13,F,yng,moral,push,1,3,Y,moral1.3,canada,6.171115674
MC-canada_13,F,yng,moral,namecall,2,0,1,moral2,canada,6.171115674
MC-canada_13,F,yng,moral,namecall,2,1,Y,moral2.1,canada,6.171115674
MC-canada_13,F,yng,moral,namecall,2,2,Y,moral2.2,canada,6.171115674
MC-canada_13,F,yng,moral,namecall,2,3,Y,moral2.3,canada,6.171115674
MC-canada_13,F,yng,moral,rip,3,0,3,moral3,canada,6.171115674
MC-canada_13,F,yng,moral,rip,3,1,Y,moral3.1,canada,6.171115674
MC-canada_13,F,yng,moral,rip,3,2,Y,moral3.2,canada,6.171115674
MC-canada_13,F,yng,moral,rip,3,3,Y,moral3.3,canada,6.171115674
